cleaned_med_id,inv_min,inv_max,mean_first_count,mean_last_count,total_picks,mean_picks,median_picks,variance_picks,std_dev_picks,range_picks,iqr_picks,skewness_picks,kurtosis_picks,percent_days_w_pick,days_of_data,days_w_stockout,days_w_scarce_inv,days_w_excess_inv,mean_inventory,inv_turnover_ratio,days_sales_inventory,stockout_rate,excess_rate,scarce_rate,coef_var
40172,11.0,66.7,29.0835734870317,29.023054755043226,1137.0,3.276657060518732,1.0,19.009944861821396,4.360039548194648,26.0,5.0,1.503308382823795,2.467764742281222,0.5187319884726225,347.0,10.0,16.0,18.0,29.053314121037463,39.13495015622675,8.866754617414248,0.02881844380403458,0.05187319884726225,0.04610951008645533,1.330636519985526
45017,0.0,15.0,6.6962332928311055,6.664641555285541,482.0,0.5856622114216282,0.0,3.038577632718705,1.7431516379015066,19.0,0.0,4.233785700252543,24.23783771231297,0.16403402187120292,823.0,316.0,0.0,35.0,6.680437424058323,72.15096398690433,11.406639004149376,0.3839611178614824,0.0425273390036452,0.0,2.9763771742592113
47325,6.0,27.0,17.05723905723906,16.96969696969697,565.0,1.9023569023569022,0.0,17.946514696514697,4.236332694266905,24.0,0.0,2.7749855618139323,8.26025271512571,0.24242424242424243,297.0,6.0,13.0,10.0,17.013468013468014,33.2089847615278,8.943362831858408,0.020202020202020204,0.03367003367003367,0.04377104377104377,2.226886389729683
48561,5.0,8.0,6.3982683982683985,6.424242424242424,3.0,0.012987012987012988,0.0,0.038961038961038946,0.19738550848793066,3.0,0.0,15.099812840763533,226.00434782608713,0.004329004329004329,231.0,0.0,0.0,1.0,6.411255411255411,0.46792707629979746,493.6666666666666,0.0,0.004329004329004329,0.0,15.19868415357066
48988,10.0,70.0,42.574908647990256,42.55542021924482,605.0,0.7369062119366626,0.0,12.635575294851607,3.5546554396807024,40.0,0.0,6.274426526877675,47.342495355807316,0.05602923264311815,821.0,11.0,11.0,93.0,42.56516443361754,14.213500829851771,57.76198347107438,0.013398294762484775,0.11327649208282582,0.013398294762484775,4.823755563599763
50410,2.0,3.0,3.002528445006321,3.0,90.0,0.11378002528445007,0.0,0.48070860471442983,0.6933315258333705,10.0,0.0,8.555399873470114,85.89607111055236,0.04804045512010114,791.0,19.0,37.0,200.0,3.0012642225031607,29.987363100252736,26.377777777777776,0.02402022756005057,0.2528445006321112,0.04677623261694058,6.09361374371329
50411,3.0,3.0,3.515683814303639,3.515683814303639,48.0,0.060225846925972396,0.0,0.12450899415521774,0.3528583202295473,5.0,0.0,8.238135755303775,84.18179538800413,0.04015056461731493,797.0,8.0,72.0,208.0,3.515683814303639,13.653104925053533,58.37500000000001,0.010037641154328732,0.26097867001254704,0.0903387703889586,5.858918358811441
51654,0.0,192.0,69.68834355828221,69.64907975460123,584.0,0.7165644171779141,0.0,6.925708083990291,2.631674007925429,30.0,0.0,6.146288444361442,44.5868748798052,0.18159509202453988,815.0,314.0,0.0,38.0,69.66871165644173,8.382529059528002,97.2260273972603,0.3852760736196319,0.046625766871165646,0.0,3.6726272542110014
51911,18.0,26.0,31.08913308913309,31.092796092796092,1047.0,1.2783882783882783,1.0,6.406512802600824,2.5311090064635353,25.0,2.0,4.832863400312574,30.243728431162985,0.5079365079365079,819.0,1.0,149.0,406.0,31.09096459096459,33.67537848292655,24.320439350525312,0.001221001221001221,0.49572649572649574,0.18192918192918192,1.9799219448840837
51912,0.0,53.0,20.17439024390244,20.134146341463413,932.0,1.1365853658536584,0.0,15.436755114803894,3.9289636184118444,41.0,0.0,5.147724142053388,31.708384348981845,0.2280487804878049,820.0,315.0,0.0,35.0,20.15426829268293,46.243306205185604,17.73229613733906,0.38414634146341464,0.042682926829268296,0.0,3.4568134840104214
59774,0.0,18.0,2.471264367816092,1.9885057471264367,35.0,0.40229885057471265,0.0,3.9641807003475007,1.991025037599352,12.0,0.0,5.034889324361901,24.110508818986514,0.04597701149425287,87.0,78.0,0.0,3.0,2.2298850574712645,15.695876288659793,5.542857142857143,0.896551724137931,0.034482758620689655,0.0,4.9491193791755315
61099,10.0,70.0,42.775616083009076,42.760051880674446,154.0,0.19974059662775617,0.0,6.580831101453671,2.5653130611006665,65.0,0.0,21.64587732204724,529.6370665733084,0.01556420233463035,771.0,1.0,1.0,0.0,42.76783398184176,3.6008370231091167,214.1168831168831,0.0012970168612191958,0.0,0.0012970168612191958,12.843223182523467
63986,7.0,10.0,14.701492537313433,14.685323383084578,251.0,0.31218905472636815,0.0,2.06555485337943,1.4372038315351896,15.0,0.0,6.369042960839841,46.596794628547556,0.07835820895522388,804.0,3.0,18.0,671.0,14.693407960199005,17.082490371185507,47.06573705179283,0.0037313432835820895,0.8345771144278606,0.022388059701492536,4.603632990256146
64638,0.0,201.0,98.00851581508516,97.7919708029197,13030.0,15.851581508515816,0.0,618.725813573738,24.87419975745427,163.0,30.0,1.828688084490142,3.686384823874997,0.4172749391727494,822.0,318.0,0.0,28.0,97.90024330900243,133.09466411511792,6.176055257099002,0.38686131386861317,0.0340632603406326,0.0,1.5691935687357952
64684,0.0,16.0,8.260340632603405,8.250608272506083,305765.0,371.97688564476886,0.0,113440509.48911183,10650.84548236016,305366.0,0.0,28.618196559365106,817.0011889177849,0.15206812652068127,822.0,80.0,0.0,21.0,8.255474452554743,37037.847038019456,0.022193514627246412,0.09732360097323602,0.025547445255474453,0.0,28.63308418720276
65449,1.0,1.0,2.0714285714285716,2.068877551020408,4.0,0.00510204081632653,0.0,0.010191049599916598,0.10095072857546199,2.0,0.0,19.72314775954277,387.00255754475694,0.002551020408163265,784.0,5.0,5.0,560.0,2.07015306122449,1.9322242760320394,405.75000000000006,0.006377551020408163,0.7142857142857143,0.006377551020408163,19.78634280079055
